College,City,State,Country
AMERICAN COLLEGE OF PUERTO RICO,BAYAMON,PR,UNITED STATES
AMERICAN CONSERVATORY OF MUSIC,CHICAGO,IL,UNITED STATES
AMERICAN GRAD SCHOOL OF INTERNATIONAL MGMT,GLENDALE,AZ,UNITED STATES
AMERICAN INSTITUTE OF BUSINESS,DES MOINES,IA,UNITED STATES
AMERICAN INSTITUTE OF COMMERCE,BETTENDORF,IA,UNITED STATES
AMERICAN INTERCON UNIVERSITY,LONDON,,UNITED KINGDOM
AMERICAN INTERNATIONAL COLLEGE,SPRINGFIELD,MA,UNITED STATES
AMERICAN ISLAMIC COLLEGE,CHICAGO,IL,UNITED STATES
AMERICAN RIVER COLLEGE,SACRAMENTO,CA,UNITED STATES
AMERICAN TECHNOLOGICAL UNIVERSITY,KILLEEN,TX,UNITED STATES
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES
AMERICAN UNIVERSITY ARMENIA,YEREVAN,,ARMENIA
AMERICAN UNIVERSITY IN BULGARIA,BLAGOEVGRAD,,BULGARIA
AMERICAN UNIVERSITY OF CENTRAL ASIA,BISHKEK,,KYRGYZSTAN
AMERICAN UNIVERSITY OF PARIS,PARIS,,FRANCE
AMERICAN UNIVERSITY OF ROME,ROME,,ITALY
AMHERST COLLEGE,AMHERST,MA,UNITED STATES
ANA G. MENDEZ EDUC FOUNDATION,RIO PIEDRAS,PR,UNITED STATES
ANAHEIM CHRISTIAN COLLEGE,ANAHEIM,CA,UNITED STATES
ANCHORAGE COMMUNITY COLLEGE,ANCHORAGE,AK,UNITED STATES
ANCILLA COLLEGE,DONALDSON,IN,UNITED STATES
ANDERSON COLLEGE,ANDERSON,SC,UNITED STATES
ANDERSON UNIVERSITY,ANDERSON,IN,UNITED STATES
ANDREW COLLEGE,CUTHBERT,GA,UNITED STATES
ANDREWS UNIVERSITY,BERRIEN SPRINGS,MI,UNITED STATES
ANERICAN UNIVERSITY OF SHARJAH,SHARJAH,,UNITED ARAB EMIRATES
ANGELINA COLLEGE,LUFKIN,TX,UNITED STATES
ANGELO STATE UNIVERSITY,SAN ANGELO,TX,UNITED STATES
ANGLIA RUSKIN UNIVERSITY,CHELMSFORD,,UNITED KINGDOM
ANGLO-AMERICKA V S,PRAHA 1,,CZECHIA
ANNA MARIA COLLEGE FOR MEN AND WOMEN,PAXTON,MA,UNITED STATES
ANNE ARUNDEL COMMUNITY COLLEGE,ARNOLD,MD,UNITED STATES
ANNHURST COLLEGE,SOUTH WOODSTOCK,CT,UNITED STATES
ANOKA-RAMSEY COMM COLLEGE-CAMBRIDGE,CAMBRIDGE,MN,UNITED STATES
ANOKA-RAMSEY COMMUNITY COLLEGE,COON RAPIDS,MN,UNITED STATES
ANSON TECHNICAL COLLEGE,ANSONVILLE,NC,UNITED STATES
ANTELOPE VALLEY COLLEGE,LANCASTER,CA,UNITED STATES
ANTIETAM BIBLE COLLEGE,HAGERSTOWN,MD,UNITED STATES
ANTILLIAN COLLEGE,MAYAGUEZ,PR,UNITED STATES
ANTIOCH COLLEGE,YELLOW SPRINGS,OH,UNITED STATES
AOYAMA GAKUIN UNIVERSITY,TOKYO,,JAPAN
APPALACHIAN BIBLE COLLEGE,BRADLEY,WV,UNITED STATES
APPALACHIAN STATE UNIVERSITY,BOONE,NC,UNITED STATES
AQUINAS COLLEGE,GRAND RAPIDS,MI,UNITED STATES
AQUINAS JUNIOR COLLEGE,NASHVILLE,TN,UNITED STATES
ARAPAHOE COMMUNITY COLLEGE,LITTLETON,CO,UNITED STATES
ARCHBISHOP BERGAN MERCY HOSPITAL,OMAHA,NE,UNITED STATES
ARIZONA CAREER COLLEGE,PHOENIX,AZ,UNITED STATES
ARIZONA COLLEGE OF THE BIBLE,PHOENIX,AZ,UNITED STATES
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES
ARIZONA WESTERN COLLEGE,YUMA,AZ,UNITED STATES
ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,UNITED STATES
ARKANSAS BIBLE COLLEGE,HOT SPRINGS,AR,UNITED STATES
ARKANSAS CHRISTIAN COLLEGE,FT SMITH,AR,UNITED STATES
ARKANSAS COLLEGE OF TECHNOLOGY,LITTLE ROCK,AR,UNITED STATES
ARKANSAS STATE UNIVERSITY,STATE UNIVERSITY,AR,UNITED STATES
ARKANSAS STATE UNIVERSITY-BEEBE BRANCH,BEEBE,AR,UNITED STATES
ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,UNITED STATES
ARMSTRONG ATLANTIC STATE UNIVERSITY,SAVANNAH,GA,UNITED STATES
ARMSTRONG UNIVERSITY,BERKELEY,CA,UNITED STATES
ARNOT OGDEN MEMORIAL HOSPITAL SCHOOL/NURSING,ELMIRA,NY,UNITED STATES
ART CENTER COLLEGE OF DESIGN,PASADENA,CA,UNITED STATES
ART INSTITUTE OF ATLANTA,ATLANTA,GA,UNITED STATES
ART INSTITUTE OF SEATTLE,SEATTLE,WA,UNITED STATES
ARTESIA CHRISTIAN COLLEGE,ARTESIA,NM,UNITED STATES
ASBURY COLLEGE,WILMORE,KY,UNITED STATES
ASBURY HOSPITAL SCHOOL OF NURSING,SALINA,KS,UNITED STATES
ASHEVILLE BUNCOMBE TECHNICAL INSTITUTE,ASHEVILLE,NC,UNITED STATES
ASHLAND COMMUNITY COLLEGE,ASHLAND,KY,UNITED STATES
ASHLAND UNIVERSITY,ASHLAND,OH,UNITED STATES
ASIAN INSTITUTE OF TECHNOLOGY,KLONG LUANG,,THAILAND
ASNUNTUCK COMMUNITY-TECHNICAL COLLEGE,ENFIELD,CT,UNITED STATES
ASSOC. OF CHRISTIAN SCHOOLS INTERNAT'L,NEWTOWN SQUARE,PA,UNITED STATES
ASSUMPTION COLLEGE,WORCESTER,MA,UNITED STATES
ASTON UNIVERSITY,BIRMINGHAM,,UNITED KINGDOM
ATHENS STATE COLLEGE,ATHENS,AL,UNITED STATES
ATLANTA CHRISTIAN COLLEGE,EAST POINT,GA,UNITED STATES
ATLANTA COLLEGE OF ART,ATLANTA,GA,UNITED STATES
ATLANTA METROPOLITAN COLLEGE,ATLANTA,GA,UNITED STATES
ATLANTA UNIVERSITY,ATLANTA,GA,UNITED STATES
ATLANTIC BAPTIST BIBLE COLLEGE,CHESTER,VA,UNITED STATES
ATLANTIC CHRISTIAN COLLEGE,WILSON,NC,UNITED STATES
ATLANTIC COMMUNITY COLLEGE,MAYS LANDING,NJ,UNITED STATES
ATLANTIC UNION COLLEGE,SOUTH LANCASTER,MA,UNITED STATES
AUBURN UNIVERSITY,AUBURN UNIVERSITY,AL,UNITED STATES
AUBURN UNIVERSITY AT MONTGOMERY,MONTGOMERY,AL,UNITED STATES
AUCKLAND UNIVERSITY OF TECHNOLOGY,AUCKLAND,,NEW ZEALAND
AUGSBURG COLLEGE,MINNEAPOLIS,MN,UNITED STATES
AUGUSTA STATE UNIVERSITY,AUGUSTA,GA,UNITED STATES
AUGUSTANA COLLEGE,ROCK ISLAND,IL,UNITED STATES
AUGUSTANA COLLEGE,SIOUX FALLS,SD,UNITED STATES
AUGUSTANA HOSPITAL SCHOOL OF NURSING,CHICAGO,IL,UNITED STATES
AULTMAN HOSPITAL SCHOOL OF RADIOLOGIC TECH,CANTON,OH,UNITED STATES
AULTMAN HOSPITAL SCHOOL OF NURSING,CANTON,OH,UNITED STATES
AURORA UNIVERSITY,AURORA,IL,UNITED STATES
AUSTIN COLLEGE,SHERMAN,TX,UNITED STATES
AUSTIN COMMUNITY COLLEGE,AUSTIN,TX,UNITED STATES
AUSTIN PEAY STATE UNIVERSITY,CLARKSVILLE,TN,UNITED STATES
AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,,AUSTRALIA
AVE MARIA UN-LATIN AMERICAN,SAN MARCOS,,NICARAGUA
AVERETT COLLEGE,DANVILLE,VA,UNITED STATES
AVILA COLLEGE,KANSAS CITY,MO,UNITED STATES
AZUSA PACIFIC UNIVERSITY,AZUSA,CA,UNITED STATES
BABSON COLLEGE,WELLESLEY,MA,UNITED STATES
BACONE COLLEGE,MUSKOGEE,OK,UNITED STATES
BAINBRIDGE JUNIOR COLLEGE,BAINBRIDGE,GA,UNITED STATES
BAKER COLLEGE,FLINT,MI,UNITED STATES
BAKER UNIVERSITY,BALDWIN CITY,KS,UNITED STATES
BAKERSFIELD COLLEGE,BAKERSFIELD,CA,UNITED STATES
BALDWIN WALLACE COLLEGE,BEREA,OH,UNITED STATES
BALL STATE UNIVERSITY,MUNCIE,IN,UNITED STATES
BALTIMORE CITY COMMUNITY COLLEGE,BALTIMORE,MD,UNITED STATES
BANGOR COMM COLLEGE/UNIVERSITY OF MAINE AT ORONO,BANGOR,ME,UNITED STATES
BANGOR THEOLOGICAL SEMINARY,BANGOR,ME,UNITED STATES
BANGOR UNIVERSITY,BANGOR WAL,,UNITED KINGDOM
BAPTIST BIBLE COLLEGE,SPRINGFIELD,MO,UNITED STATES
BAPTIST BIBLE COLLEGE EAST,BOSTON,MA,UNITED STATES
BAPTIST BIBLE COLLEGE OF PA,CLARKS SUMMIT,PA,UNITED STATES
BAPTIST HOSPITAL SCHOOL OF NURSING,MEMPHIS,TN,UNITED STATES
BAPTIST SYSTEM SCHOOL OF NURSING,LITTLE ROCK,AR,UNITED STATES
BAPTIST UNIVERSITY OF AMERICA,DECATUR,GA,UNITED STATES
BAR-ILAN UNIVERSITY,NEW YORK,NY,UNITED STATES
BAR-ILAN UNIVERSITY,RAMAT GAN,,ISRAEL
BARAT COLLEGE,LAKE FOREST,IL,UNITED STATES
BARBER-SCOTIA COLLEGE,CONCORD,NC,UNITED STATES
BARCLAY COLLEGE,HAVILAND,KS,UNITED STATES
BARD COLLEGE,ANNANDALE-ON-HUDSON,NY,UNITED STATES
BARD COLLEGE BERLIN,BERLIN,,GERMANY
BARNARD COLLEGE-COLUMBIA UNIVERSITY,NEW YORK,NY,UNITED STATES
BARNES HOSPITAL SCHOOL OF NURSING,ST LOUIS,MO,UNITED STATES
BARONESS ERLANGER HOSPITAL SCHOOL/NURSING,CHATTANOOGA,TN,UNITED STATES
BARRINGTON COLLEGE,BARRINGTON,RI,UNITED STATES
BARRY UNIVERSITY,MIAMI,FL,UNITED STATES
BARSTOW COLLEGE,BARSTOW,CA,UNITED STATES
BARTLESVILLE WESLEYAN COLLEGE,BARTLESVILLE,OK,UNITED STATES
BARTON COUNTY COMMUNITY COLLEGE,GREAT BEND,KS,UNITED STATES
BASEL SCHOOL OF BUSINESS,BASEL STADT,,SWITZERLAND
BATES COLLEGE,LEWISTON,ME,UNITED STATES
BATH SPA UNIVERSITY,SOMERSET,,UNITED KINGDOM
BATON ROUGE GEN HOSPITAL SCHOOL OF NURSING,BATON ROUGE,LA,UNITED STATES
BATON ROUGE GEN HOSPITAL-SCHOOL OF RAD TECH,BATON ROUGE,LA,UNITED STATES
BATON ROUGE VOCATIONAL-TECHNICAL INSTITUTE,BATON ROUGE,LA,UNITED STATES
BAUDER FASHION COLLEGE,ARLINGTON,TX,UNITED STATES
BAUDER FASHION COLLEGE,ATLANTA,GA,UNITED STATES
BAY DE NOC COMMUNITY COLLEGE,ESCANABA,MI,UNITED STATES
BAY PATH JUNIOR COLLEGE,LONGMEADOW,MA,UNITED STATES
BAY STATE JUNIOR COLLEGE,BOSTON,MA,UNITED STATES
BAYAMON CENTRAL UNIVERSITY,BAYAMON,PR,UNITED STATES
BAYLOR COLLEGE OF DENTISTRY,DALLAS,TX,UNITED STATES
BAYLOR UNIVERSITY,WACO,TX,UNITED STATES
BBA INTL PRGM/THAMMASAT UNIVERSITY,BANGKOK,,THAILAND
BE INTL PRGM THAMMASAT UNIVERSITY,BANGKOK,,THAILAND
BEAVER COLLEGE,GLENSIDE,PA,UNITED STATES
BECKER JUNIOR COLLEGE-LEICESTER,LEICESTER,MA,UNITED STATES
BECKER JUNIOR COLLEGE-WORCESTER,WORCESTER,MA,UNITED STATES
BECKLEY COLLEGE,BECKLEY,WV,UNITED STATES
BEE COUNTY COLLEGE,BEEVILLE,TX,UNITED STATES
BELHAVEN COLLEGE,JACKSON,MS,UNITED STATES
BELLARMINE COLLEGE,LOUISVILLE,KY,UNITED STATES
BELLEVILLE AREA COLLEGE,BELLEVILLE,IL,UNITED STATES
BELLEVUE COMMUNITY COLLEGE,BELLEVUE,WA,UNITED STATES
BELLEVUE UNIVERSITY,BELLEVUE,NE,UNITED STATES
BELLIN COLLEGE OF NURSING,GREEN BAY,WI,UNITED STATES
BELMONT ABBEY COLLEGE,BELMONT,NC,UNITED STATES
BELMONT COLLEGE,NASHVILLE,TN,UNITED STATES
BELMONT TECHNICAL COLLEGE,ST CLAIRSVILLE,OH,UNITED STATES
BELOIT COLLEGE,BELOIT,WI,UNITED STATES
BEMIDJI STATE UNIVERSITY,BEMIDJI,MN,UNITED STATES
BENEDICT COLLEGE,COLUMBIA,SC,UNITED STATES
BENEDICTINE COLLEGE,ATCHISON,KS,UNITED STATES
BENEDICTINE UNIVERSITY,LISLE,IL,UNITED STATES
BENNETT COLLEGE,GREENSBORO,NC,UNITED STATES
BENNINGTON COLLEGE,BENNINGTON,VT,UNITED STATES
BENTLEY COLLEGE,WALTHAM,MA,UNITED STATES
BEREA COLLEGE,BEREA,KY,UNITED STATES
BERGEN COMMUNITY COLLEGE,PARAMUS,NJ,UNITED STATES
BERKELEY SCHOOL OF GARRETT MOUNTAIN,LITTLE FALLS,NJ,UNITED STATES
BERKELEY SCHOOL OF LONG ISLAND,LITTLE FALLS,NJ,UNITED STATES
BERKELEY SCHOOL-NEW YORK CITY,LITTLE FALLS,NJ,UNITED STATES
BERKELEY SCHOOL-RIDGEWOOD,LITTLE FALLS,NJ,UNITED STATES
BERKELEY SCHOOL-WHITE PLAINS,LITTLE FALLS,NJ,UNITED STATES
BERKLEE COLLEGE OF MUSIC,BOSTON,MA,UNITED STATES
BERKSHIRE CHRISTIAN COLLEGE,LENOX,MA,UNITED STATES
BERKSHIRE COMMUNITY COLLEGE,PITTSFIELD,MA,UNITED STATES
BERNARD M. BARUCH COLLEGE,NEW YORK CITY,NY,UNITED STATES
BERRY COLLEGE,MOUNT BERRY,GA,UNITED STATES
BETH-EL SCHOOL OF NURSING MEMORIAL HOSPITAL,COLORADO SPRINGS,CO,UNITED STATES
BETHANY BIBLE COLLEGE,SANTA CRUZ,CA,UNITED STATES
BETHANY COLLEGE,LINDSBORG,KS,UNITED STATES
BETHANY COLLEGE,BETHANY,WV,UNITED STATES
BETHANY FELLOWSHIP MISSIONARY TRNG CTR,BLOOMINGTON,MN,UNITED STATES
BETHANY LUTHERAN COLLEGE,MANKATO,MN,UNITED STATES
BETHEL COLLEGE,MISHAWAKA,IN,UNITED STATES
BETHEL COLLEGE,ST PAUL,MN,UNITED STATES
BETHEL COLLEGE,MCKENZIE,TN,UNITED STATES
BETHEL COLLEGE,NORTH NEWTON,KS,UNITED STATES
BETHEL THEOLOGICAL SEMINARY,ST PAUL,MN,UNITED STATES
BETHESDA HOSPITAL SCHOOL OF NURSING,CINCINNATI,OH,UNITED STATES
BETHUNE-COOKMAN COLLEGE,DAYTONA BEACH,FL,UNITED STATES
BIBLE BAPTIST INSTITUTE AND COLLEGE,HUDSON FALLS,NY,UNITED STATES
BIG BEND COMMUNITY COLLEGE,MOSES LAKE,WA,UNITED STATES
BIG SKY BIBLE COLLEGE,LEWISTOWN,MT,UNITED STATES
BIOLA UNIVERSITY,LA MIRADA,CA,UNITED STATES
BIOMED PROJECT AT UNI/PRICE LAB SCHOOL,CEDAR FALLS,IA,UNITED STATES
BIRMINGHAM BAPTIST HOSPITAL,BIRMINGHAM,AL,UNITED STATES
BISHOP COLLEGE,DALLAS,TX,UNITED STATES
BISHOPS UNIVERSITY,SHERBROOKE,QC,CANADA
BISMARCK STATE COLLEGE,BISMARCK,ND,UNITED STATES
BLACK HAWK COLLEGE,MOLINE,IL,UNITED STATES
BLACK HAWK COLLEGE-EAST CAMPUS,KEWANEE,IL,UNITED STATES
BLACK HILLS STATE UNIVERSITY,SPEARFISH,SD,UNITED STATES
BLACKBURN COLLEGE,CARLINVILLE,IL,UNITED STATES
BLACKHAWK TECHNICAL INSTITUTE,JANESVILLE,WI,UNITED STATES
BLESSING HOSPITAL SCHOOL OF NURSING,QUINCY,IL,UNITED STATES
BLINN COLLEGE,BRENHAM,TX,UNITED STATES
BLISS COLLEGE,COLUMBUS,OH,UNITED STATES
BLOOMFIELD COLLEGE,BLOOMFIELD,NJ,UNITED STATES
BLOOMINGTON-NORMAL SCHOOL OF RADIOGRAPHY,NORMAL,IL,UNITED STATES
BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,BLOOMSBURG,PA,UNITED STATES
BLUE MOUNTAIN COLLEGE,BLUE MOUNTAIN,MS,UNITED STATES
BLUE MOUNTAIN COMMUNITY COLLEGE,PENDLETON,OR,UNITED STATES
BLUE RIDGE COMMUNITY COLLEGE,WEYERS CAVE,VA,UNITED STATES
BLUEFIELD COLLEGE,BLUEFIELD,VA,UNITED STATES
BLUEFIELD STATE COLLEGE,BLUEFIELD,WV,UNITED STATES
BLUFFTON COLLEGE,BLUFFTON,OH,UNITED STATES
BOB JONES UNIVERSITY,GREENVILLE,SC,UNITED STATES
BOCCONI UNIVERSITY,MILANO,,ITALY
BOISE STATE UNIVERSITY,BOISE,ID,UNITED STATES
BOND UNIVERSITY,ROBINA QLD,,AUSTRALIA
BORICUA COLLEGE,BROOKLYN,NY,UNITED STATES
BOROUGH OF MANHATTAN COMM COLLEGE,NEW YORK CITY,NY,UNITED STATES
BORROMEO COLLEGE OF OHIO,WICKLIFFE,OH,UNITED STATES
BOSSIER PARISH COMMUNITY COLLEGE,BOSSIER CITY,LA,UNITED STATES
BOSTON ARCHITECTURAL CENTER,BOSTON,MA,UNITED STATES
BOSTON COLLEGE,CHESTNUT HILL,MA,UNITED STATES
BOSTON CONSERVATORY OF MUSIC,BOSTON,MA,UNITED STATES
BOSTON UNIVERSITY,BOSTON,MA,UNITED STATES
BOWDOIN COLLEGE,BRUNSWICK,ME,UNITED STATES
BOWIE STATE COLLEGE,BOWIE,MD,UNITED STATES
BOWLING GREEN STATE UNIVERSITY,BOWLING GREEN,OH,UNITED STATES
BRADFORD COLLEGE,BRADFORD,MA,UNITED STATES
BRADLEY UNIVERSITY,PEORIA,IL,UNITED STATES
BRANDEIS UNIVERSITY,WALTHAM,MA,UNITED STATES
BRANDYWINE COLLEGE OF WIDENER UNIVERSITY,WILMINGTON,DE,UNITED STATES
BRAZOSPORT COLLEGE,LAKE JACKSON,TX,UNITED STATES
BRENAU UNIVERSITY,GAINESVILLE,GA,UNITED STATES
BRESCIA COLLEGE,OWENSBORO,KY,UNITED STATES
BREVARD COLLEGE,BREVARD,NC,UNITED STATES
BREVARD COMMUNITY COLLEGE,COCOA,FL,UNITED STATES
BREWTON-PARKER COLLEGE,MT VERNON,GA,UNITED STATES
BRIAR CLIFF COLLEGE,SIOUX CITY,IA,UNITED STATES
BRIARWOOD COLLEGE,SOUTHINGTON,CT,UNITED STATES
BRIDGEWATER COLLEGE,BRIDGEWATER,VA,UNITED STATES
BRIDGEWATER STATE COLLEGE,BRIDGEWATER,MA,UNITED STATES
BRIERCREST COLLEGE,CARONPORT,SK,CANADA
BRIGHAM YOUNG UNIVERSITY,PROVO,UT,UNITED STATES
BRIGHAM YOUNG UNIVERSITY-HAWAII CAMPUS,LAIE,HI,UNITED STATES
BRISTOL COMMUNITY COLLEGE,FALL RIVER,MA,UNITED STATES
BROCK UNIVERSITY,ST CATHARINES,ON,CANADA
BRONSON HOSPITAL SCHOOL RADIOLOGIC TECH,KALAMAZOO,MI,UNITED STATES
BRONSON HOSPITAL SCHOOL OF NURSING,KALAMAZOO,MI,UNITED STATES
BROOKDALE COMMUNITY COLLEGE,LINCROFT,NJ,UNITED STATES
BROOKHAVEN COLLEGE,FARMERS BRANCH,TX,UNITED STATES
BROOKS COLLEGE,LONG BEACH,CA,UNITED STATES
BROOKS INSTITUTE OF PHOTOGRAPHY,SANTA BARBARA,CA,UNITED STATES
BROOME COMMUNITY COLLEGE,BINGHAMTON,NY,UNITED STATES
BROWARD COMMUNITY COLLEGE,FORT LAUDERDALE,FL,UNITED STATES
BROWARD COMMUNITY COLLEGE-HOLLYWOOD,FORT LAUDERDALE,FL,UNITED STATES
BROWARD COMMUNITY COLLEGE-POMPANO BEACH,FORT LAUDERDALE,FL,UNITED STATES
THE BROWN MACKIE COLLEGE,SALINA,KS,UNITED STATES
BROWN UNIVERSITY,PROVIDENCE,RI,UNITED STATES
BRUNEL UNIVERSITY,UXBRIDGE,,UNITED KINGDOM
BRUNSWICK JUNIOR COLLEGE,BRUNSWICK,GA,UNITED STATES
BRYAN COLLEGE,DAYTON,TN,UNITED STATES
BRYAN MEMORIAL HOSPITAL SCHOOL OF NURSING,LINCOLN,NE,UNITED STATES
BRYANT & STRATTON BUSINESS INSTITUTE,BUFFALO,NY,UNITED STATES
BRYANT & STRATTON POWELSON BUSINESS INSTITUTE,SYRACUSE,NY,UNITED STATES
BRYANT COLLEGE,SMITHFIELD,RI,UNITED STATES
BRYN MAWR COLLEGE,BRYN MAWR,PA,UNITED STATES
BUCKNELL UNIVERSITY,LEWISBURG,PA,UNITED STATES
BUCKS COUNTY COMMUNITY COLLEGE,NEWTOWN,PA,UNITED STATES
BUENA VISTA UNIVERSITY,STORM LAKE,IA,UNITED STATES
BUNKER HILL COMMUNITY COLLEGE,BOSTON,MA,UNITED STATES
BURDETT SCHOOL,BOSTON,MA,UNITED STATES
BURLINGTON COLLEGE,BURLINGTON,VT,UNITED STATES
BURLINGTON COUNTY COLLEGE,PEMBERTON,NJ,UNITED STATES
BUTLER COUNTY COMMUNITY COLLEGE,EL DORADO,KS,UNITED STATES
BUTLER COUNTY COMMUNITY COLLEGE,BUTLER,PA,UNITED STATES
BUTLER UNIVERSITY,INDIANAPOLIS,IN,UNITED STATES
BUTTE COLLEGE,OROVILLE,CA,UNITED STATES
CABRILLO COLLEGE,APTOS,CA,UNITED STATES
CABRINI COLLEGE,RADNOR,PA,UNITED STATES
CAGUAS CITY COLLEGE,CAGUAS,PR,UNITED STATES
CALDWELL COLLEGE,CALDWELL,NJ,UNITED STATES
CALDWELL COMM COLLEGE & TECH INSTITUTE,HUDSON,NC,UNITED STATES
CALIFORNIA BAPTIST COLLEGE,RIVERSIDE,CA,UNITED STATES
CALIFORNIA BIBLE COLLEGE,BURLINGAME,CA,UNITED STATES
CALIFORNIA CHRISTIAN COLLEGE,FRESNO,CA,UNITED STATES
CALIFORNIA COLLEGE OF ARTS AND CRAFTS,OAKLAND,CA,UNITED STATES
CALIFORNIA COLLEGE OF PODIATRIC MEDICINE,SAN FRANCISCO,CA,UNITED STATES
CALIFORNIA CULINARY ACADEMY,SAN FRANCISCO,CA,UNITED STATES
